(1,1) Correlating Predictor
Address		Prediction	Action
4194604		T		T (Hit)
4194612		T		T (Hit)
4194612		T		T (Hit)
4194612		T		T (Hit)
4194604		T		T (Hit)
4194612		T		T (Hit)
4194612		T		T (Hit)
4194612		T		T (Hit)
4194604		T		T (Hit)
4194612		T		T (Hit)
4194612		T		T (Hit)
4194612		T		T (Hit)
4194604		T		T (Hit)
4194612		T		T (Hit)
4194612		T		T (Hit)
4194612		T		T (Hit)
4194604		T		NT
4194684		T		T (Hit)
4194684		T		T (Hit)
4194688		T		T (Hit)
4194688		T		T (Hit)
4194684		T		T (Hit)
4194688		T		T (Hit)
4194688		T		T (Hit)
4194684		T		T (Hit)
4194688		T		T (Hit)
4194688		T		T (Hit)
4194684		T		T (Hit)
4194688		T		T (Hit)
4194688		T		T (Hit)
4194684		T		NT
4194828		T		T (Hit)
4194828		T		T (Hit)
4194832		T		T (Hit)
4194832		T		T (Hit)
4194828		T		T (Hit)
4194832		T		T (Hit)
4194832		T		T (Hit)
4194828		T		T (Hit)
4194832		T		T (Hit)
4194832		T		T (Hit)
4194828		T		T (Hit)
4194832		T		T (Hit)
4194832		T		T (Hit)
4194828		T		NT
4194964		T		T (Hit)
4194964		T		T (Hit)
4194968		T		T (Hit)
4194968		T		T (Hit)
4194964		T		T (Hit)
4194968		T		T (Hit)
4194968		T		T (Hit)
4194964		T		NT
4195000		T		T (Hit)
4195000		T		T (Hit)
4195004		T		T (Hit)
4195004		T		T (Hit)
4195000		T		T (Hit)
4195004		T		T (Hit)
4195004		T		T (Hit)
4195000		T		NT
4195124		T		T (Hit)
4195124		T		T (Hit)
4195128		T		T (Hit)
4195128		T		T (Hit)
4195124		T		T (Hit)
4195128		T		T (Hit)
4195128		T		T (Hit)
4195124		T		T (Hit)
4195128		T		T (Hit)
4195128		T		T (Hit)
4195124		T		T (Hit)
4195128		T		T (Hit)
4195128		T		T (Hit)
4195124		T		NT
4195248		T		T (Hit)
4195248		T		T (Hit)
4195252		T		T (Hit)
4195252		T		T (Hit)
4195248		T		NT
4195312		T		T (Hit)
4195312		T		T (Hit)
4195316		T		T (Hit)
4195316		T		T (Hit)
4195316		T		T (Hit)
4195312		T		T (Hit)
4195316		T		T (Hit)
4195316		T		T (Hit)
4195316		T		T (Hit)
4195312		T		NT
4195444		T		T (Hit)
4195444		T		T (Hit)
4195448		T		T (Hit)
4195448		T		T (Hit)
4195444		T		T (Hit)
4195448		T		T (Hit)
4195448		T		T (Hit)
4195444		T		NT
4195504		T		T (Hit)
4195504		T		T (Hit)
4195508		T		T (Hit)
4195508		T		T (Hit)
4195504		T		T (Hit)
4195508		T		T (Hit)
4195508		T		T (Hit)
4195504		T		NT
4195576		T		T (Hit)
4195576		T		T (Hit)
4195580		T		T (Hit)
4195580		T		T (Hit)
4195576		T		T (Hit)
4195580		T		T (Hit)
4195580		T		T (Hit)
4195576		T		T (Hit)
4195580		T		T (Hit)
4195580		T		T (Hit)
4195576		T		NT
4195636		T		T (Hit)
4195636		T		T (Hit)
4195640		T		T (Hit)
4195640		T		T (Hit)
4195636		T		NT
4195820		T		T (Hit)
4195820		T		T (Hit)
4195824		T		T (Hit)
4195824		T		T (Hit)
4195824		T		T (Hit)
4195820		T		T (Hit)
4195824		T		T (Hit)
4195824		T		T (Hit)
4195824		T		T (Hit)
4195820		T		T (Hit)
4195824		T		T (Hit)
4195824		T		T (Hit)
4195824		T		T (Hit)
4195820		T		NT
4195900		T		T (Hit)
4195900		T		T (Hit)
4195904		T		T (Hit)
4195904		T		T (Hit)
4195904		T		T (Hit)
4195900		T		T (Hit)
4195904		T		T (Hit)
4195904		T		T (Hit)
4195904		T		T (Hit)
4195900		T		T (Hit)
4195904		T		T (Hit)
4195904		T		T (Hit)
4195904		T		T (Hit)
4195900		T		T (Hit)
4195904		T		T (Hit)
4195904		T		T (Hit)
4195904		T		T (Hit)
4195900		T		NT
4196024		T		T (Hit)
