2-bit Predictor
Address		Prediction	Action
4194304		T'		T (Hit)
4194304		T'		T (Hit)
4194304		T'		T (Hit)
4194304		T'		NT
4194332		T'		T (Hit)
4194332		T'		T (Hit)
4194332		T'		T (Hit)
4194332		T'		NT
4194364		T'		T (Hit)
4194364		T'		T (Hit)
4194364		T'		T (Hit)
4194364		T'		NT
4194388		T'		T (Hit)
4194388		T'		NT
4194404		T'		T (Hit)
4194404		T'		T (Hit)
4194404		T'		NT
4194420		T'		T (Hit)
4194420		T'		T (Hit)
4194420		T'		T (Hit)
4194420		T'		NT
4194440		T'		T (Hit)
4194440		T'		T (Hit)
4194440		T'		T (Hit)
4194440		T'		T (Hit)
4194440		T'		NT
4194480		T'		T (Hit)
4194480		T'		T (Hit)
4194480		T'		T (Hit)
4194480		T'		T (Hit)
4194480		T'		NT
4194504		T'		T (Hit)
4194504		T'		NT
4194516		T'		T (Hit)
4194516		T'		T (Hit)
4194516		T'		NT
4194536		T'		T (Hit)
4194536		T'		T (Hit)
4194536		T'		T (Hit)
4194536		T'		NT
4194584		T'		T (Hit)
4194584		T'		T (Hit)
4194584		T'		NT
4194604		T'		T (Hit)
4194612		T'		T (Hit)
4194612		T'		T (Hit)
4194612		T'		T (Hit)
4194604		T'		T (Hit)
4194612		T'		T (Hit)
4194612		T'		T (Hit)
4194612		T'		T (Hit)
4194604		T'		T (Hit)
4194612		T'		T (Hit)
4194612		T'		T (Hit)
4194612		T'		T (Hit)
4194604		T'		T (Hit)
4194612		T'		T (Hit)
4194612		T'		T (Hit)
4194612		T'		T (Hit)
4194604		T'		NT
4194684		T'		T (Hit)
4194684		T'		T (Hit)
4194688		T'		T (Hit)
4194688		T'		T (Hit)
4194684		T'		T (Hit)
4194688		T'		T (Hit)
4194688		T'		T (Hit)
4194684		T'		T (Hit)
4194688		T'		T (Hit)
4194688		T'		T (Hit)
4194684		T'		T (Hit)
4194688		T'		T (Hit)
4194688		T'		T (Hit)
4194684		T'		NT
4194744		T'		T (Hit)
4194744		T'		T (Hit)
4194744		T'		T (Hit)
4194744		T'		T (Hit)
4194744		T'		NT
4194768		T'		T (Hit)
4194768		T'		T (Hit)
4194768		T'		T (Hit)
4194768		T'		T (Hit)
4194768		T'		NT
4194812		T'		T (Hit)
4194812		T'		T (Hit)
4194812		T'		NT
4194828		T'		T (Hit)
4194828		T'		T (Hit)
4194832		T'		T (Hit)
4194832		T'		T (Hit)
4194828		T'		T (Hit)
4194832		T'		T (Hit)
4194832		T'		T (Hit)
4194828		T'		T (Hit)
4194832		T'		T (Hit)
4194832		T'		T (Hit)
4194828		T'		T (Hit)
4194832		T'		T (Hit)
4194832		T'		T (Hit)
4194828		T'		NT
4194884		T'		T (Hit)
4194884		T'		T (Hit)
4194884		T'		T (Hit)
4194884		T'		NT
4194904		T'		T (Hit)
4194904		T'		T (Hit)
4194904		T'		T (Hit)
4194904		T'		T (Hit)
4194904		T'		NT
4194928		T'		T (Hit)
4194928		T'		T (Hit)
4194928		T'		T (Hit)
4194928		T'		NT
4194964		T'		T (Hit)
4194964		T'		T (Hit)
4194968		T'		T (Hit)
4194968		T'		T (Hit)
4194964		T'		T (Hit)
4194968		T'		T (Hit)
4194968		T'		T (Hit)
4194964		T'		NT
4195000		T'		T (Hit)
4195000		T'		T (Hit)
4195004		T'		T (Hit)
4195004		T'		T (Hit)
4195000		T'		T (Hit)
4195004		T'		T (Hit)
4195004		T'		T (Hit)
4195000		T'		NT
4195032		T'		T (Hit)
4195032		T'		T (Hit)
4195032		T'		T (Hit)
4195032		T'		NT
4195060		T'		T (Hit)
4195060		T'		T (Hit)
4195060		T'		T (Hit)
4195060		T'		T (Hit)
4195060		T'		NT
4195096		T'		T (Hit)
4195096		T'		T (Hit)
4195096		T'		NT
4195112		T'		T (Hit)
4195112		T'		NT
4195124		T'		T (Hit)
4195124		T'		T (Hit)
4195128		T'		T (Hit)
4195128		T'		T (Hit)
4195124		T'		T (Hit)
4195128		T'		T (Hit)
4195128		T'		T (Hit)
4195124		T'		T (Hit)
4195128		T'		T (Hit)
4195128		T'		T (Hit)
4195124		T'		T (Hit)
4195128		T'		T (Hit)
4195128		T'		T (Hit)
4195124		T'		NT
4195180		T'		T (Hit)
4195180		T'		T (Hit)
4195180		T'		NT
4195200		T'		T (Hit)
4195200		T'		T (Hit)
4195200		T'		T (Hit)
4195200		T'		T (Hit)
4195200		T'		NT
4195224		T'		T (Hit)
4195224		T'		T (Hit)
4195224		T'		T (Hit)
4195224		T'		T (Hit)
4195224		T'		NT
4195248		T'		T (Hit)
4195248		T'		T (Hit)
4195252		T'		T (Hit)
4195252		T'		T (Hit)
4195248		T'		NT
4195268		T'		T (Hit)
4195268		T'		T (Hit)
4195268		T'		T (Hit)
4195268		T'		T (Hit)
4195268		T'		NT
4195296		T'		T (Hit)
4195296		T'		T (Hit)
4195296		T'		NT
4195312		T'		T (Hit)
4195312		T'		T (Hit)
4195316		T'		T (Hit)
4195316		T'		T (Hit)
4195316		T'		T (Hit)
4195312		T'		T (Hit)
4195316		T'		T (Hit)
4195316		T'		T (Hit)
4195316		T'		T (Hit)
4195312		T'		NT
4195352		T'		T (Hit)
4195352		T'		T (Hit)
4195352		T'		T (Hit)
4195352		T'		T (Hit)
4195352		T'		NT
4195380		T'		T (Hit)
4195380		T'		T (Hit)
4195380		T'		T (Hit)
4195380		T'		NT
4195400		T'		T (Hit)
4195400		T'		T (Hit)
4195400		T'		T (Hit)
4195400		T'		T (Hit)
4195400		T'		NT
4195424		T'		T (Hit)
4195424		T'		T (Hit)
4195424		T'		T (Hit)
4195424		T'		NT
4195444		T'		T (Hit)
4195444		T'		T (Hit)
4195448		T'		T (Hit)
4195448		T'		T (Hit)
4195444		T'		T (Hit)
4195448		T'		T (Hit)
4195448		T'		T (Hit)
4195444		T'		NT
4195480		T'		T (Hit)
4195480		T'		T (Hit)
4195480		T'		T (Hit)
4195480		T'		T (Hit)
4195480		T'		NT
4195504		T'		T (Hit)
4195504		T'		T (Hit)
4195508		T'		T (Hit)
4195508		T'		T (Hit)
4195504		T'		T (Hit)
4195508		T'		T (Hit)
4195508		T'		T (Hit)
4195504		T'		NT
4195540		T'		T (Hit)
4195540		T'		T (Hit)
4195540		T'		T (Hit)
4195540		T'		T (Hit)
4195540		T'		NT
4195576		T'		T (Hit)
4195576		T'		T (Hit)
4195580		T'		T (Hit)
4195580		T'		T (Hit)
4195576		T'		T (Hit)
4195580		T'		T (Hit)
4195580		T'		T (Hit)
4195576		T'		T (Hit)
4195580		T'		T (Hit)
4195580		T'		T (Hit)
4195576		T'		NT
4195620		T'		T (Hit)
4195620		T'		NT
4195636		T'		T (Hit)
4195636		T'		T (Hit)
4195640		T'		T (Hit)
4195640		T'		T (Hit)
4195636		T'		NT
4195656		T'		T (Hit)
4195656		T'		T (Hit)
4195656		T'		T (Hit)
4195656		T'		T (Hit)
4195656		T'		NT
4195688		T'		T (Hit)
4195688		T'		T (Hit)
4195688		T'		T (Hit)
4195688		T'		NT
4195708		T'		T (Hit)
4195708		T'		NT
4195724		T'		T (Hit)
4195724		T'		T (Hit)
4195724		T'		T (Hit)
4195724		T'		NT
4195748		T'		T (Hit)
4195748		T'		T (Hit)
4195748		T'		NT
4195764		T'		T (Hit)
4195764		T'		T (Hit)
4195764		T'		T (Hit)
4195764		T'		T (Hit)
4195764		T'		NT
4195788		T'		T (Hit)
4195788		T'		T (Hit)
4195788		T'		T (Hit)
4195788		T'		NT
4195820		T'		T (Hit)
4195820		T'		T (Hit)
4195824		T'		T (Hit)
4195824		T'		T (Hit)
4195824		T'		T (Hit)
4195820		T'		T (Hit)
4195824		T'		T (Hit)
4195824		T'		T (Hit)
4195824		T'		T (Hit)
4195820		T'		T (Hit)
4195824		T'		T (Hit)
4195824		T'		T (Hit)
4195824		T'		T (Hit)
4195820		T'		NT
4195876		T'		T (Hit)
4195876		T'		T (Hit)
4195876		T'		T (Hit)
4195876		T'		T (Hit)
4195876		T'		NT
4195900		T'		T (Hit)
4195900		T'		T (Hit)
4195904		T'		T (Hit)
4195904		T'		T (Hit)
4195904		T'		T (Hit)
4195900		T'		T (Hit)
